U	I
-2.11000000000008	-1.09e-06
-2.10000000000008	-1.09e-06
-2.09000000000008	-1.09e-06
-2.08000000000008	-1.09e-06
-2.07000000000008	-1.09e-06
-2.06000000000008	-1.08e-06
-2.05000000000008	-1.08e-06
-2.04000000000008	-1.08e-06
-2.03000000000008	-1.08e-06
-2.02000000000008	-1.08e-06
-2.01000000000009	-1.08e-06
-2.00000000000009	-1.08e-06
-1.99000000000009	-1.08e-06
-1.98000000000009	-1.08e-06
-1.97000000000009	-1.07e-06
-1.96000000000009	-1.07e-06
-1.95000000000009	-1.07e-06
-1.94000000000009	-1.07e-06
-1.93000000000009	-1.07e-06
-1.92000000000009	-1.07e-06
-1.91000000000009	-1.06e-06
-1.90000000000009	-1.07e-06
-1.89000000000009	-1.06e-06
-1.88000000000009	-1.06e-06
-1.87000000000009	-1.06e-06
-1.86000000000009	-1.06e-06
-1.85000000000009	-1.06e-06
-1.84000000000009	-1.06e-06
-1.83000000000009	-1.06e-06
-1.82000000000009	-1.05e-06
-1.81000000000009	-1.05e-06
-1.80000000000009	-1.05e-06
-1.79000000000009	-1.05e-06
-1.78000000000009	-1.05e-06
-1.77000000000009	-1.05e-06
-1.76000000000009	-1.05e-06
-1.75000000000009	-1.05e-06
-1.74000000000009	-1.05e-06
-1.73000000000009	-1.04e-06
-1.72000000000009	-1.04e-06
-1.71000000000009	-1.04e-06
-1.70000000000009	-1.04e-06
-1.69000000000008	-1.04e-06
-1.68000000000008	-1.04e-06
-1.67000000000008	-1.04e-06
-1.66000000000008	-1.03e-06
-1.65000000000008	-1.03e-06
-1.64000000000008	-1.03e-06
-1.63000000000008	-1.03e-06
-1.62000000000008	-1.03e-06
-1.61000000000008	-1.03e-06
-1.60000000000008	-1.03e-06
-1.59000000000008	-1.02e-06
-1.58000000000008	-1.02e-06
-1.57000000000008	-1.02e-06
-1.56000000000008	-1.02e-06
-1.55000000000008	-1.02e-06
-1.54000000000008	-1.02e-06
-1.53000000000008	-1.02e-06
-1.52000000000008	-1.02e-06
-1.51000000000008	-1.01e-06
-1.50000000000008	-1.01e-06
-1.49000000000008	-1.01e-06
-1.48000000000008	-1.01e-06
-1.47000000000008	-1.01e-06
-1.46000000000008	-1.01e-06
-1.45000000000008	-1e-06
-1.44000000000008	-1e-06
-1.43000000000008	-1e-06
-1.42000000000008	-1e-06
-1.41000000000008	-1e-06
-1.40000000000008	-1e-06
-1.39000000000008	-9.9e-07
-1.38000000000008	-9.9e-07
-1.37000000000008	-9.9e-07
-1.36000000000008	-9.9e-07
-1.35000000000008	-9.9e-07
-1.34000000000008	-9.9e-07
-1.33000000000008	-9.9e-07
-1.32000000000008	-9.9e-07
-1.31000000000008	-9.8e-07
-1.30000000000008	-9.8e-07
-1.29000000000008	-9.8e-07
-1.28000000000008	-9.8e-07
-1.27000000000008	-9.8e-07
-1.26000000000008	-9.8e-07
-1.25000000000008	-9.7e-07
-1.24000000000008	-9.7e-07
-1.23000000000008	-9.7e-07
-1.22000000000008	-9.7e-07
-1.21000000000008	-9.7e-07
-1.20000000000008	-9.7e-07
-1.19000000000008	-9.6e-07
-1.18000000000008	-9.6e-07
-1.17000000000008	-9.6e-07
-1.16000000000008	-9.6e-07
-1.15000000000008	-9.6e-07
-1.14000000000008	-9.6e-07
-1.13000000000008	-9.5e-07
-1.12000000000008	-9.5e-07
-1.11000000000008	-9.5e-07
-1.10000000000008	-9.5e-07
-1.09000000000008	-9.5e-07
-1.08000000000008	-9.5e-07
-1.07000000000008	-9.5e-07
-1.06000000000008	-9.5e-07
-1.05000000000008	-9.4e-07
-1.04000000000008	-9.4e-07
-1.03000000000008	-9.4e-07
-1.02000000000008	-9.4e-07
-1.01000000000008	-9.4e-07
-1.00000000000008	-9.4e-07
-0.990000000000084	-9.3e-07
-0.980000000000084	-9.3e-07
-0.970000000000084	-9.3e-07
-0.960000000000084	-9.2e-07
-0.950000000000084	-9.3e-07
-0.940000000000084	-9.2e-07
-0.930000000000084	-9.2e-07
-0.920000000000084	-9.2e-07
-0.910000000000084	-9.2e-07
-0.900000000000084	-9.1e-07
-0.890000000000084	-9.2e-07
-0.880000000000084	-9.1e-07
-0.870000000000084	-9.1e-07
-0.860000000000084	-9.1e-07
-0.850000000000084	-9.1e-07
-0.840000000000084	-9e-07
-0.830000000000084	-9e-07
-0.820000000000084	-9e-07
-0.810000000000084	-9e-07
-0.800000000000084	-9e-07
-0.790000000000084	-9e-07
-0.780000000000084	-8.9e-07
-0.770000000000084	-9e-07
-0.760000000000084	-8.9e-07
-0.750000000000084	-8.9e-07
-0.740000000000084	-8.9e-07
-0.730000000000084	-8.9e-07
-0.720000000000084	-8.8e-07
-0.710000000000084	-8.8e-07
-0.700000000000084	-8.8e-07
-0.690000000000084	-8.8e-07
-0.680000000000084	-8.8e-07
-0.670000000000084	-8.8e-07
-0.660000000000084	-8.7e-07
-0.650000000000084	-8.7e-07
-0.640000000000084	-8.7e-07
-0.630000000000084	-8.7e-07
-0.620000000000084	-8.7e-07
-0.610000000000084	-8.6e-07
-0.600000000000084	-8.6e-07
-0.590000000000084	-8.6e-07
-0.580000000000084	-8.6e-07
-0.570000000000084	-8.6e-07
-0.560000000000084	-8.5e-07
-0.550000000000084	-8.5e-07
-0.540000000000084	-8.5e-07
-0.530000000000084	-8.5e-07
-0.520000000000084	-8.4e-07
-0.510000000000084	-8.4e-07
-0.500000000000084	-8.4e-07
-0.490000000000084	-8.4e-07
-0.480000000000084	-8.4e-07
